Date : 2022-05-06 22:34:43
Directory : g:\Project\MiniProgram\tanei
Total : 154 files,  22974 codes, 771 comments, 1386 blanks, all 25131 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\nlp\nlp.json                                                         | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\nlp\nlp.wxml                                                         | wxml       |         75 |          0 |          1 |         76 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package1\nlp\nlp.wxss                                                         | wxss       |         11 |          0 |          0 |         11 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package2\identify\identify.js                                                 | JavaScript |        123 |          8 |          2 |        133 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package2\identify\identify.json                                               | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package2\identify\identify.wxml                                               | wxml       |         42 |          0 |          2 |         44 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package2\identify\identify.wxss                                               | wxss       |          1 |          0 |          0 |          1 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\Instruction\Instruction.js                                            | JavaScript |         32 |          1 |          0 |         33 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\Instruction\Instruction.json                                          | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\Instruction\Instruction.wxml                                          | wxml       |         37 |          0 |          2 |         39 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\Instruction\Instruction.wxss                                          | wxss       |          1 |          0 |          0 |          1 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\allSheets\allSheets.js                                                | JavaScript |        296 |          3 |          1 |        300 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\allSheets\allSheets.json                                              | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\allSheets\allSheets.wxml                                              | wxml       |         89 |          0 |          0 |         89 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\allSheets\allSheets.wxss                                              | wxss       |          1 |          0 |          0 |          1 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageIdentify\manageIdentify.js                                      | JavaScript |        182 |          1 |          3 |        186 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageIdentify\manageIdentify.json                                    | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageIdentify\manageIdentify.wxml                                    | wxml       |        121 |          0 |          0 |        121 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageIdentify\manageIdentify.wxss                                    | wxss       |         11 |          0 |          1 |         12 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageMember\manageMember.js                                          | JavaScript |        239 |          7 |          1 |        247 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageMember\manageMember.json                                        | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageMember\manageMember.wxml                                        | wxml       |        110 |          0 |          4 |        114 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\manageMember\manageMember.wxss                                        | wxss       |          1 |          0 |          0 |          1 |
